Student_ID,Department,Gender,Study_Hours_Per_Day,Attendance_Percent,Assignment_Score,Midterm_Score,Final_Exam_Score,Overall_Score,Grade,Result
STU1053,Civil,Female,7.0,82.4,65.3,98.9,100.0,91.0,A,Pass
STU1054,ME,Female,0.9,45.3,58.1,64.2,50.1,55.4,C,Pass
STU1055,ECE,Male,3.6,66.5,60.1,74.6,79.1,72.7,B,Pass
STU1056,Civil,Male,4.7,67.7,64.0,73.9,79.9,73.7,B,Pass
STU1057,CSE,Female,4.2,92.9,74.5,83.5,77.5,80.2,B,Pass
STU1058,CSE,Female,2.9,78.3,64.8,76.9,65.8,70.2,B,Pass
STU1059,CSE,Male,3.5,72.4,58.2,77.0,69.8,69.9,C,Pass
STU1060,IT,Male,3.1,85.3,74.4,74.7,70.1,73.9,B,Pass
STU1061,IT,Female,2.9,70.3,46.5,75.0,72.3,67.8,C,Pass
STU1062,CSE,Male,5.1,71.9,77.9,89.3,82.0,82.4,B,Pass
STU1063,ME,Female,4.3,91.7,73.6,90.2,86.9,85.7,A,Pass
STU1064,IT,Male,2.8,74.4,55.3,71.9,65.2,66.2,C,Pass
STU1065,CSE,Female,5.1,70.1,74.4,78.3,81.8,78.1,B,Pass
STU1066,IT,Male,4.3,74.6,51.5,76.9,58.5,64.2,C,Pass
STU1067,CSE,Female,5.0,71.2,81.1,88.9,88.9,85.6,A,Pass
STU1068,ME,Male,4.7,64.7,66.3,69.6,80.3,72.7,B,Pass
STU1069,CSE,Male,2.6,77.3,51.7,69.0,74.2,68.4,C,Pass
STU1070,Civil,Female,3.0,89.1,72.6,67.7,44.5,61.5,C,Pass
STU1071,ME,Male,4.9,65.5,61.0,77.7,97.5,81.1,B,Pass
STU1072,CSE,Female,4.7,84.1,51.6,90.2,80.1,77.8,B,Pass
STU1073,CSE,Male,3.8,67.5,45.3,72.8,81.4,70.2,B,Pass
STU1074,ME,Female,4.0,70.1,72.3,73.4,64.1,69.1,C,Pass
STU1075,ECE,Male,5.7,77.6,58.1,73.8,92.5,78.5,B,Pass
STU1076,ECE,Female,2.9,60.9,80.6,70.6,54.2,65.1,C,Pass
STU1077,ME,Male,4.6,78.5,43.0,83.5,73.9,71.1,B,Pass
STU1078,CSE,Female,3.5,64.2,82.9,86.1,85.9,83.2,B,Pass
STU1079,IT,Male,3.5,75.2,65.0,68.6,69.3,68.8,C,Pass
STU1080,CSE,Female,5.4,81.5,70.8,85.5,87.7,83.0,B,Pass
STU1081,ME,Female,5.0,77.6,63.5,82.5,89.9,81.2,B,Pass
STU1082,ECE,Female,5.0,70.9,74.8,91.8,85.1,83.6,B,Pass
STU1083,IT,Male,5.8,78.2,73.5,84.7,89.2,83.6,B,Pass
STU1084,CSE,Female,3.8,81.6,77.2,76.4,77.8,77.6,B,Pass
STU1085,IT,Male,4.8,84.0,70.4,85.5,100.0,88.1,A,Pass
STU1086,IT,Female,3.3,61.7,63.3,68.6,66.2,65.9,C,Pass
STU1087,ECE,Male,4.3,77.5,62.1,72.7,79.0,73.6,B,Pass
STU1088,ECE,Female,3.6,80.5,62.3,74.3,82.4,75.8,B,Pass
STU1089,ME,Male,3.9,57.8,68.2,78.5,80.0,75.0,B,Pass
STU1090,IT,Male,4.7,83.9,48.0,71.8,92.0,76.3,B,Pass
STU1091,CSE,Female,2.6,61.4,41.8,63.9,67.5,60.7,C,Pass
STU1092,ECE,Male,6.9,95.2,88.4,89.8,89.0,89.7,A,Pass
STU1093,ME,Male,2.3,58.9,58.6,70.1,73.8,68.2,C,Pass
STU1094,ECE,Female,2.0,55.0,38.0,35.0,32.0,36.4,F,Fail
STU1095,ME,Male,5.5,66.2,72.7,76.8,85.8,78.5,B,Pass
STU1096,IT,Male,5.0,80.5,74.2,84.1,75.9,78.5,B,Pass
STU1097,IT,Male,4.7,81.1,62.0,91.9,80.2,80.2,B,Pass
STU1098,IT,Female,4.7,69.5,59.2,76.6,81.1,74.2,B,Pass
STU1099,CSE,Male,3.8,80.4,66.4,69.4,77.2,73.0,B,Pass
STU1100,CSE,Female,2.5,50.9,45.8,75.2,62.5,61.8,C,Pass
STU1101,CSE,Male,3.9,73.8,69.4,61.6,88.1,75.0,B,Pass
STU1102,ECE,Male,2.8,59.0,41.0,36.0,34.0,38.5,F,Fail
STU1103,IT,Male,5.3,75.0,83.8,85.3,81.4,82.4,B,Pass
STU1104,IT,Female,3.6,73.5,68.7,67.3,80.0,73.3,B,Pass
STU1105,Civil,Male,2.6,59.4,61.1,54.3,72.0,63.2,C,Pass
STU1106,CSE,Male,3.3,67.7,73.3,74.0,56.9,66.4,C,Pass
STU1107,IT,Female,4.4,87.1,87.0,80.8,85.3,84.5,B,Pass
STU1108,ME,Male,3.0,64.2,72.2,61.3,71.4,67.8,C,Pass
STU1109,CSE,Female,2.6,76.4,35.9,55.6,62.3,56.4,C,Pass
STU1110,CSE,Female,4.2,64.7,50.6,80.1,86.0,75.0,B,Pass
STU1111,CSE,Male,4.2,81.3,58.5,81.7,75.9,74.7,B,Pass
STU1112,CSE,Female,3.0,84.4,60.3,69.1,70.7,69.5,C,Pass
STU1113,Civil,Male,3.1,45.8,66.7,77.5,60.2,65.2,C,Pass
STU1114,ME,Female,4.1,67.5,56.8,64.5,73.7,66.9,C,Pass
STU1115,ECE,Female,1.6,61.0,45.0,40.0,38.0,42.3,D,Pass
STU1116,ME,Male,1.7,49.0,30.0,28.0,25.0,29.3,F,Fail
STU1117,ME,Female,2.7,72.2,51.2,65.3,79.1,68.7,C,Pass
STU1118,CSE,Female,3.5,66.5,45.6,71.2,61.5,61.7,C,Pass
STU1119,ME,Female,4.3,77.4,55.4,74.4,68.2,68.4,C,Pass
STU1120,IT,Female,6.0,83.4,58.8,90.5,71.0,75.6,B,Pass
STU1121,ME,Female,5.1,92.2,58.8,74.0,80.2,75.3,B,Pass
STU1122,ME,Male,3.6,75.5,75.6,83.3,59.9,71.6,B,Pass
STU1123,IT,Female,3.8,77.4,52.6,72.6,88.4,75.4,B,Pass
STU1124,CSE,Male,2.3,62.4,88.1,70.2,68.9,72.5,B,Pass
STU1125,CSE,Female,3.8,69.1,69.9,74.4,65.6,69.4,C,Pass
STU1126,IT,Male,3.4,67.7,64.2,72.6,89.0,77.0,B,Pass
STU1127,ME,Male,4.3,80.4,56.2,81.4,86.6,78.3,B,Pass
STU1128,ME,Female,2.6,63.8,66.4,66.9,59.3,63.4,C,Pass
STU1129,CSE,Female,4.6,80.9,61.1,83.9,57.5,68.5,C,Pass
STU1130,IT,Female,6.1,100.0,77.0,100.0,100.0,95.4,A,Pass
STU1131,IT,Male,3.6,81.7,93.7,74.5,60.7,73.5,B,Pass
STU1132,CSE,Female,4.4,73.7,65.8,81.8,62.2,70.0,B,Pass
STU1133,CSE,Male,4.8,91.0,82.8,81.3,92.8,87.2,A,Pass
STU1134,IT,Male,3.2,66.9,52.6,79.1,89.1,76.6,B,Pass
STU1135,Civil,Male,4.1,55.1,65.1,65.2,83.3,71.4,B,Pass
STU1136,IT,Female,3.8,63.9,85.2,85.0,75.7,79.2,B,Pass
STU1137,IT,Female,3.9,55.8,57.0,69.2,74.9,67.7,C,Pass
STU1138,ECE,Male,2.6,64.5,79.7,52.1,70.1,66.1,C,Pass
STU1139,IT,Male,3.8,74.2,72.5,73.7,79.8,76.0,B,Pass
STU1140,Civil,Female,4.5,94.3,60.8,75.4,84.8,78.1,B,Pass
STU1141,Civil,Male,6.0,88.3,82.6,95.4,92.4,90.9,A,Pass
STU1142,CSE,Female,5.2,78.8,82.7,76.7,83.2,80.7,B,Pass
STU1143,IT,Male,7.0,98.3,87.5,93.1,93.8,92.8,A,Pass
STU1144,IT,Female,2.6,57.0,40.0,34.0,31.0,36.3,F,Fail
STU1145,CSE,Male,5.1,82.9,61.8,78.6,68.7,71.7,B,Pass
STU1146,CSE,Female,4.1,83.2,62.5,56.8,76.1,68.3,C,Pass
STU1147,ECE,Male,7.1,75.7,79.6,80.1,87.5,82.5,B,Pass
STU1148,IT,Female,2.6,79.4,65.4,72.6,55.7,65.1,C,Pass
STU1149,CSE,Female,2.5,70.9,59.6,70.5,64.7,66.0,C,Pass
STU1150,CSE,Male,2.9,65.3,43.5,68.9,77.2,66.8,C,Pass
STU1151,Civil,Male,0.6,50.0,33.0,29.0,27.0,31.1,F,Fail
STU1152,CSE,Female,3.0,92.7,67.3,71.2,57.3,67.0,C,Pass
STU1153,CSE,Male,2.7,70.3,65.2,65.2,55.5,61.8,C,Pass
STU1154,IT,Female,4.0,77.5,78.0,65.2,83.5,76.3,B,Pass
STU1155,Civil,Male,4.3,71.9,76.5,87.2,67.1,75.5,B,Pass
STU1156,CSE,Female,6.6,79.5,83.5,97.5,91.7,90.6,A,Pass
STU1157,ECE,Female,5.2,89.3,70.2,82.3,91.0,84.1,B,Pass
STU1158,ME,Female,2.9,60.9,39.6,64.8,55.0,55.4,C,Pass
STU1159,CSE,Female,2.5,68.2,62.7,65.3,63.5,64.4,C,Pass
STU1160,ECE,Female,4.5,72.7,70.0,60.2,65.5,65.5,C,Pass
STU1161,IT,Female,1.8,68.8,57.3,57.6,52.3,56.5,C,Pass
STU1162,ECE,Male,6.5,90.8,62.2,86.7,98.4,86.9,A,Pass
STU1163,ECE,Male,5.6,93.4,60.0,79.3,75.4,75.3,B,Pass
STU1164,IT,Male,3.1,65.4,73.1,64.4,70.1,68.5,C,Pass
STU1165,CSE,Female,1.2,58.3,50.5,68.2,51.0,56.8,C,Pass
STU1166,ME,Female,5.8,74.2,82.2,89.8,91.9,87.6,A,Pass
STU1167,IT,Female,3.6,68.6,63.3,65.8,72.3,68.2,C,Pass
STU1168,CSE,Female,5.7,87.3,73.9,91.2,100.0,90.9,A,Pass
STU1169,CSE,Male,1.4,69.6,63.3,68.5,56.2,62.6,C,Pass
STU1170,ECE,Male,2.9,60.3,53.3,71.9,59.7,62.1,C,Pass
STU1171,ECE,Female,3.8,82.7,65.2,74.8,75.9,74.1,B,Pass
STU1172,CSE,Male,3.9,88.1,59.0,70.8,81.6,74.5,B,Pass
STU1173,IT,Male,3.1,74.6,55.3,74.1,68.6,68.2,C,Pass
STU1174,CSE,Female,4.7,97.3,64.8,85.8,84.7,82.3,B,Pass
STU1175,ECE,Male,2.2,58.3,58.7,67.0,51.9,58.4,C,Pass
STU1176,CSE,Female,3.6,60.6,57.3,73.8,62.6,64.7,C,Pass
STU1177,ECE,Male,4.0,57.2,80.1,78.8,58.0,68.6,C,Pass
STU1178,IT,Female,4.6,93.0,57.3,76.9,98.4,83.2,B,Pass
STU1179,Civil,Female,4.9,86.0,67.3,92.1,72.0,78.5,B,Pass
STU1180,CSE,Female,2.1,64.9,50.2,62.2,52.7,56.3,C,Pass
STU1181,IT,Female,1.5,65.3,69.9,73.7,48.4,62.0,C,Pass
STU1182,CSE,Male,5.7,72.2,75.9,78.1,93.8,83.4,B,Pass
STU1183,Civil,Female,4.3,100.0,78.9,94.7,79.4,86.0,A,Pass
STU1184,ME,Female,2.7,69.8,40.7,66.7,75.5,65.3,C,Pass
STU1185,CSE,Female,6.1,86.6,78.7,83.7,85.7,83.8,B,Pass
STU1186,ECE,Male,4.0,82.3,75.7,71.6,78.6,76.3,B,Pass
STU1187,ME,Female,5.6,87.8,74.0,83.6,81.0,81.1,B,Pass
STU1188,ECE,Male,3.9,76.7,77.3,77.1,93.5,83.7,B,Pass
STU1189,IT,Female,6.9,81.6,73.3,96.9,85.6,86.1,A,Pass
STU1190,CSE,Male,6.4,91.7,93.9,87.2,97.8,93.2,A,Pass
STU1191,CSE,Male,3.4,90.8,89.6,73.4,79.5,80.8,B,Pass
STU1192,ME,Female,5.3,95.0,67.1,100.0,91.7,89.6,A,Pass
STU1193,Civil,Male,4.8,94.9,63.7,96.6,82.8,84.3,B,Pass
STU1194,ECE,Female,5.9,79.4,91.9,89.8,87.6,88.3,A,Pass
STU1195,IT,Female,2.4,57.1,76.0,61.1,59.8,63.2,C,Pass
STU1196,IT,Female,4.8,77.7,62.7,80.3,79.4,76.2,B,Pass
STU1197,ECE,Male,5.4,82.6,67.0,88.8,94.6,86.1,A,Pass
STU1198,ME,Male,1.2,71.9,47.6,48.4,74.1,60.9,C,Pass
STU1199,ME,Female,2.0,53.0,36.0,31.0,29.0,33.4,F,Fail
STU1200,ME,Female,0.7,52.0,35.0,30.0,28.0,32.4,F,Fail
